formatted_date,high,low,open,close,volume,adjclose
2015-09-17,2020.86,1986.73,1995.33,1990.2,4183790000,1990.2
2015-09-18,1989.66,1953.45,1989.66,1958.03,6021240000,1958.03
2015-09-21,1979.64,1955.8,1960.84,1966.97,3269350000,1966.97
2015-09-22,1961.39,1929.22,1961.39,1942.74,3808260000,1942.74
2015-09-23,1949.52,1932.57,1943.24,1938.76,3190530000,1938.76
2015-09-24,1937.17,1908.92,1934.81,1932.24,4091530000,1932.24
2015-09-25,1952.89,1921.5,1935.93,1931.34,3721870000,1931.34
2015-09-28,1929.18,1879.21,1929.18,1881.77,4326660000,1881.77
2015-09-29,1899.48,1871.91,1881.9,1884.09,4132390000,1884.09
2015-09-30,1920.53,1887.14,1887.14,1920.03,4525070000,1920.03
2015-10-01,1927.21,1900.7,1919.65,1923.82,3983600000,1923.82
2015-10-02,1951.36,1893.7,1921.77,1951.36,4378570000,1951.36
2015-10-05,1989.17,1954.33,1954.33,1987.05,4334490000,1987.05
2015-10-06,1991.62,1971.99,1986.63,1979.92,4202400000,1979.92
2015-10-07,1999.31,1976.44,1982.34,1995.83,4666470000,1995.83
2015-10-08,2016.5,1987.53,1994.01,2013.43,3939140000,2013.43
2015-10-09,2020.13,2007.61,2013.73,2014.89,3706900000,2014.89
2015-10-12,2018.66,2010.55,2015.65,2017.46,2893250000,2017.46
2015-10-13,2022.34,2001.78,2015.0,2003.69,3401920000,2003.69
2015-10-14,2009.56,1990.73,2003.66,1994.24,3644590000,1994.24
2015-10-15,2024.15,1996.47,1996.47,2023.86,3746290000,2023.86
2015-10-16,2033.54,2020.46,2024.37,2033.11,3595430000,2033.11
2015-10-19,2034.45,2022.31,2031.73,2033.66,3287320000,2033.66
2015-10-20,2039.12,2026.61,2033.13,2030.77,3331500000,2030.77
2015-10-21,2037.97,2017.22,2033.47,2018.94,3627790000,2018.94
2015-10-22,2055.2,2021.88,2021.88,2052.51,4430850000,2052.51
2015-10-23,2079.74,2058.19,2058.19,2075.15,4108460000,2075.15
2015-10-26,2075.14,2066.53,2075.08,2071.18,3385800000,2071.18
2015-10-27,2070.37,2058.84,2068.75,2065.89,4216880000,2065.89
2015-10-28,2090.35,2063.11,2066.48,2090.35,4698110000,2090.35
2015-10-29,2092.52,2082.63,2088.35,2089.41,4008940000,2089.41
2015-10-30,2094.32,2079.34,2090.0,2079.36,4256200000,2079.36
2015-11-02,2106.2,2080.76,2080.76,2104.05,3760020000,2104.05
2015-11-03,2116.48,2097.51,2102.63,2109.79,4272060000,2109.79
2015-11-04,2114.59,2096.98,2110.6,2102.31,4078870000,2102.31
2015-11-05,2108.78,2090.41,2101.68,2099.93,4051890000,2099.93
2015-11-06,2101.91,2083.74,2098.6,2099.2,4369020000,2099.2
